110.25,99.62923618,99.5,97.40048740,88.75,92.58264075,78,85.22568685,67.25,75.73579953,56.5,64.53581620,45.75,51.37994959,35,36.35568330,24.25,19.96708950,13.5,05.46564185,2.75,00.24578724,,
110,99.61882147,99.25,97.35882855,88.5,92.37226353,77.75,85.07571497,67,75.51709054,56.25,64.21712595,45.5,51.03626403,34.75,35.90993355,24,19.61715511,13.25,05.29692349,2.5,00.22704076,,
109.75,99.53550375,99,97.28384261,88.25,92.27436522,77.5,84.86742069,66.75,75.26088858,56,63.86302568,45.25,50.74881792,34.5,35.57457976,23.75,19.24847424,13,05.11154158,2.25,00.17288425,,
109.5,99.51884021,98.75,97.20469078,88,92.14313982,77.25,84.60496990,66.5,75.00885250,55.75,63.61515549,45,50.41763002,34.25,35.21631360,23.5,18.68607969,12.75,04.90324730,2,00.15622070,,
109.25,99.50842550,98.5,97.02972359,87.75,92.03690974,77,84.42791976,66.25,74.77139702,55.5,63.33187527,44.75,50.04061738,34,34.84138390,23.25,18.33197942,12.5,04.71994834,1.75,00.13330833,,
109,99.49176196,98.25,96.97973296,87.5,91.90776729,76.75,84.23420608,66,74.47353621,55.25,63.03609739,44.5,49.70942948,33.75,34.49561540,23,18.01120623,12.25,04.36168218,1.5,00.11872773,,
108.75,99.46676664,98,96.90058114,87.25,91.70572184,76.5,84.05090712,65.75,74.25274427,55,62.74448540,44.25,49.39282217,33.5,34.04361682,22.75,17.68001832,12,04.16171967,1.25,00.11247891,,
108.5,99.39178070,97.75,96.84434168,87,91.56199879,76.25,83.82178341,65.5,74.00070820,54.75,62.40079985,44,49.10537607,33.25,33.70201420,22.5,17.35924514,11.75,03.95967422,1,00.09998125,,
108.25,99.37720010,97.5,96.77768751,86.75,91.46410048,76,83.55933262,65.25,73.76533566,54.5,62.12376846,43.75,48.81168114,33,33.36457747,22.25,16.79476764,11.5,03.78470703,0.75,00.08748359,,
108,99.35220479,97.25,96.63396446,86.5,91.31412860,75.75,83.30729654,65,73.44872836,54.25,61.83632235,43.5,48.34926784,32.75,32.98756483,22,16.49274094,11.25,03.59099335,0.5,00.07915182,,
107.75,99.33554125,97,96.56731029,86.25,91.13499552,75.5,83.13024641,64.75,73.14461871,54,61.60511570,43.25,48.02432877,32.5,32.60013747,21.75,16.15738715,11,03.26813722,0.25,00.07082005,,
107.5,99.30429711,96.75,96.49232435,86,90.88920827,75.25,82.94069861,64.5,72.92590972,53.75,61.32183548,43,47.71397029,32.25,32.08148472,21.5,15.84077985,10.75,03.10150180,0,00.06248828,,
107.25,99.18556937,96.5,96.39026015,85.75,90.77672936,75,82.74490199,64.25,72.68012247,53.5,60.95107167,42.75,47.40777770,32,31.80237038,21.25,15.47209898,10.5,02.95361286,-0.25,00.05415651,,
107,99.17723760,96.25,96.27569830,85.5,90.62467454,74.75,82.50536357,64,72.42600345,53.25,60.63654731,42.5,47.10158511,31.75,31.49617779,21,14.92220208,10.25,02.82238746,-0.5,00.04790768,,
106.75,99.15432523,96,96.10489699,85.25,90.44762440,74.5,82.32831344,63.75,72.19896269,53,60.37826240,42.25,46.65375242,31.5,31.16290695,20.75,14.63059009,10,02.70574267,-0.75,00.03541002,,
106.5,99.12516403,95.75,95.99658397,85,90.31431606,74.25,82.14709741,63.5,71.89901893,52.75,60.07206982,42,46.29756920,31.25,30.79630902,20.5,14.27648982,9.75,02.43704305,-1,00.02916119,,
106.25,99.08767106,95.5,95.91951509,84.75,90.08935824,74,81.92838842,63.25,71.66781228,52.5,59.79087254,41.75,45.97263013,31,30.28598804,20.25,13.93488720,9.5,02.31831531,-1.75,00.02291237,,
106,98.97935803,95.25,95.81953383,84.5,89.95188402,73.75,81.75133829,63,71.46368389,52.25,59.43052344,41.5,45.62894457,30.75,29.96313191,20,13.64952404,9.25,02.19958757,-2,00.01666354,,
