299,99.99728268,256,86.13624629,213,61.17768538,170,39.03426537,127,20.49400831
298,99.99456536,255,85.57376158,212,60.62878726,169,38.57232140,126,20.13260509
297,99.98097877,254,84.99497296,211,60.09075840,168,38.08863889,125,19.76304991
296,99.95108828,253,84.42977093,210,59.54457759,167,37.57506589,124,19.36632156
295,99.92391511,252,83.85913426,209,59.01741800,166,37.10225265,123,19.03752615
294,99.86141680,251,83.26675905,208,58.43319475,165,36.61313551,122,18.67340561
293,99.79891850,250,82.68525311,207,57.86799271,164,36.13488763,121,18.31200239
292,99.70652971,249,82.12005108,206,57.27018287,163,35.66479171,120,17.93701258
291,99.63316214,248,81.52224124,205,56.75660987,162,35.19197847,119,17.59463058
290,99.54349066,247,80.98964702,204,56.15336539,161,34.75177304,118,17.30659492
289,99.41849406,246,80.39183717,203,55.63979239,160,34.27624249,117,16.90443194
288,99.27175891,245,79.85380832,202,55.06100377,159,33.78440803,116,16.47237846
287,99.11687182,244,79.26958506,201,54.48493247,158,33.31159479,115,16.08108475
286,98.94839814,243,78.71253498,200,53.87625336,157,32.89856253,114,15.70337762
285,98.74459933,242,78.11744246,199,53.40344012,156,32.42303198,113,15.25502024
284,98.52449661,241,77.52778457,198,52.91160566,155,31.97739191,112,14.89361702
283,98.29080731,240,76.92725741,197,52.41161924,154,31.55892502,111,14.55938697
282,98.06255264,239,76.37292464,196,51.84098258,153,31.12143691,110,14.22515692
281,97.75549577,238,75.67729137,195,51.31925762,152,30.66221026,109,13.89636151
280,97.49191598,237,75.05502567,194,50.79481535,151,30.19211434,108,13.59745659
279,97.16312056,236,74.47895437,193,50.21059210,150,29.80625526,107,13.21974946
278,96.80986929,235,73.90016575,192,49.73506154,149,29.34702861,106,12.85019428
277,96.48379120,234,73.31050786,191,49.22692318,148,28.91769245,105,12.46433520
276,96.10064943,233,72.68280753,190,48.69976359,147,28.52911605,104,12.12738784
275,95.68218254,232,72.03336865,189,48.19705986,146,28.12423575,103,11.80402706
274,95.33436591,231,71.42468954,188,47.73511589,145,27.69761691,102,11.52142604
273,94.85340072,230,70.90024727,187,47.25415070,144,27.25197684,101,11.23067307
272,94.49199750,229,70.26167767,186,46.77862014,143,26.81177141,100,10.91002961
271,94.02733621,228,69.68560636,185,46.25689519,142,26.40960843,99,10.63014591
270,93.56810956,227,69.09051384,184,45.78951658,141,26.00744544,98,10.29863318
269,93.10344827,226,68.50357327,183,45.27050895,140,25.62430368,97,10.01331485
268,92.65237357,225,67.91935001,182,44.87649792,139,25.20855411,96,09.70354066
267,92.16869106,224,67.32154017,181,44.35477296,138,24.77921795,95,09.40463574
266,91.69587782,223,66.76992473,180,43.84119996,137,24.30912203,94,09.07040569
265,91.15784897,222,66.21559196,179,43.37382136,136,23.90967636,93,08.83671639
264,90.63340670,221,65.67484579,178,42.88198690,135,23.49392679,92,08.57857123
263,90.10896443,220,65.12323034,177,42.46352001,134,23.12165430,91,08.31499144
262,89.58180484,219,64.54987636,176,41.97712018,133,22.71133936,90,08.07586750
261,88.99486426,218,63.99010896,175,41.43093937,132,22.30102442,89,07.77424526
260,88.45955272,217,63.46294937,174,40.97443004,131,21.92331730,88,07.48892693
259,87.90793728,216,62.85427026,173,40.48259558,130,21.57550066,87,07.20089128
258,87.32643134,215,62.30265481,172,39.97717453,129,21.21953207,86,06.96991929
257,86.71231760,214,61.77821254,171,39.52881715,128,20.89345398,85,06.73079535
