"GOVERNMENT ENGINEERING COLLEGE,
VALSAD","MECHANICAL ENGINEERING","EWS","GUJCET Based","GOVT","50310.00"
"GOVERNMENT ENGINEERING COLLEGE,
VALSAD","MECHANICAL ENGINEERING","GEN","GUJCET Based","GOVT","29792.00"
"GOVERNMENT ENGINEERING COLLEGE,
VALSAD","MECHANICAL ENGINEERING","SEBC","GUJCET Based","GOVT","33758.00"
"GOVERNMENT ENGINEERING COLLEGE,
VALSAD","MECHANICAL ENGINEERING","ST","GUJCET Based","GOVT","37317.00"
"GOVERNMENT ENGINEERING COLLEGE,
VALSAD","MECHANICAL ENGINEERING -
TFWS","TFWS","GUJCET Based","GOVT","17148.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING","EWS","GUJCET Based","GOVT","1237.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING","GEN","GUJCET Based","GOVT","1070.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING","SC","GUJCET Based","GOVT","5870.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING","SEBC","GUJCET Based","GOVT","1914.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING","ST","GUJCET Based","GOVT","14590.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING","GEN","JEE Based","GOVT","900131.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","AUTOMOBILE ENGINEERING","EWS","GUJCET Based","GOVT","25374.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","AUTOMOBILE ENGINEERING","GEN","GUJCET Based","GOVT","21559.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","AUTOMOBILE ENGINEERING","SC","GUJCET Based","GOVT","27022.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","AUTOMOBILE ENGINEERING","SEBC","GUJCET Based","GOVT","31602.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","AUTOMOBILE ENGINEERING","SEBC","JEE Based","GOVT","909108.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","AUTOMOBILE ENGINEERING -
TFWS","TFWS","GUJCET Based","GOVT","9091.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","BIOMEDICAL ENGINEERING","EWS","GUJCET Based","GOVT","27574.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","BIOMEDICAL ENGINEERING","GEN","GUJCET Based","GOVT","21486.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","BIOMEDICAL ENGINEERING","SC","GUJCET Based","GOVT","32767.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","BIOMEDICAL ENGINEERING","SEBC","GUJCET Based","GOVT","23007.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","BIOMEDICAL ENGINEERING","GEN","JEE Based","GOVT","904274.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","CHEMICAL ENGINEERING","ESM","GUJCET Based","GOVT","30841.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","CHEMICAL ENGINEERING","EWS","GUJCET Based","GOVT","4875.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","CHEMICAL ENGINEERING","SC","GUJCET Based","GOVT","14687.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","CHEMICAL ENGINEERING","SEBC","GUJCET Based","GOVT","7209.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","CHEMICAL ENGINEERING","GEN","JEE Based","GOVT","901739.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","CHEMICAL ENGINEERING","SC","JEE Based","GOVT","906892.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","CIVIL ENGINEERING","EWS","GUJCET Based","GOVT","5356.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","CIVIL ENGINEERING","GEN","GUJCET Based","GOVT","4980.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","CIVIL ENGINEERING","SC","GUJCET Based","GOVT","15151.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","CIVIL ENGINEERING","SEBC","GUJCET Based","GOVT","6045.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","CIVIL ENGINEERING","ST","GUJCET Based","GOVT","23905.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","CIVIL ENGINEERING","EWS","JEE Based","GOVT","901714.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","CIVIL ENGINEERING","SC","JEE Based","GOVT","907003.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","COMPUTER ENGINEERING","EWS","GUJCET Based","GOVT","845.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","COMPUTER ENGINEERING","GEN","GUJCET Based","GOVT","646.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","COMPUTER ENGINEERING","GEN-PH","GUJCET Based","GOVT","27772.00"
"Admission Committee for Professional Courses, Gujarat"
"First Year Degree Engineering : 2025-26"
"Institute Wise : Program Wise : Last Admitted Rank after Round-3"
"Inst_Name","Course_name","Cat_Name","Board","Type of
Institute","closing"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","COMPUTER ENGINEERING","SC","GUJCET Based","GOVT","4559.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","COMPUTER ENGINEERING","SEBC","GUJCET Based","GOVT","1227.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","COMPUTER ENGINEERING","EWS","JEE Based","GOVT","900557.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","COMPUTER ENGINEERING","GEN","JEE Based","GOVT","900047.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRICAL ENGINEERING","EWS","GUJCET Based","GOVT","6352.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRICAL ENGINEERING","GEN","GUJCET Based","GOVT","5212.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRICAL ENGINEERING","SC","GUJCET Based","GOVT","14982.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRICAL ENGINEERING","SEBC","GUJCET Based","GOVT","7215.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRICAL ENGINEERING","ST","GUJCET Based","GOVT","8887.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRICAL ENGINEERING","ST","JEE Based","GOVT","908648.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRICAL ENGINEERING - TFWS","TFWS","JEE Based","GOVT","900891.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRONICS &
COMMUNICATION ENGINEERING","EWS","GUJCET Based","GOVT","2359.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRONICS &
COMMUNICATION ENGINEERING","GEN","GUJCET Based","GOVT","1924.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRONICS &
COMMUNICATION ENGINEERING","SC","GUJCET Based","GOVT","10245.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRONICS &
COMMUNICATION ENGINEERING","SEBC","GUJCET Based","GOVT","3508.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRONICS &
COMMUNICATION ENGINEERING","ST","GUJCET Based","GOVT","32698.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRONICS &
COMMUNICATION ENGINEERING","GEN","JEE Based","GOVT","900690.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRONICS &
COMMUNICATION ENGINEERING","SC","JEE Based","GOVT","904663.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRONICS &
COMMUNICATION ENGINEERING","SEBC","JEE Based","GOVT","901167.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ELECTRONICS &
COMMUNICATION ENGINEERING -
TFWS","TFWS","GUJCET Based","GOVT","1220.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ENVIRONMENTAL ENGINEERING","EWS","GUJCET Based","GOVT","16921.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ENVIRONMENTAL ENGINEERING","GEN","GUJCET Based","GOVT","16646.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ENVIRONMENTAL ENGINEERING","SEBC","GUJCET Based","GOVT","16918.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ENVIRONMENTAL ENGINEERING","ST","JEE Based","GOVT","924431.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INFORMATION TECHNOLOGY","EWS","GUJCET Based","GOVT","1428.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INFORMATION TECHNOLOGY","GEN","GUJCET Based","GOVT","1271.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INFORMATION TECHNOLOGY","SC","GUJCET Based","GOVT","6282.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INFORMATION TECHNOLOGY","SEBC","GUJCET Based","GOVT","2100.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INFORMATION TECHNOLOGY","ST","GUJCET Based","GOVT","18779.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INFORMATION TECHNOLOGY","EWS","JEE Based","GOVT","900654.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INFORMATION TECHNOLOGY","GEN","JEE Based","GOVT","900220.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INFORMATION TECHNOLOGY","SEBC","JEE Based","GOVT","900988.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INFORMATION TECHNOLOGY -
TFWS","TFWS","GUJCET Based","GOVT","876.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INSTRUMENTATION & CONTROL
ENGINEERING","EWS","GUJCET Based","GOVT","7852.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INSTRUMENTATION & CONTROL
ENGINEERING","GEN","GUJCET Based","GOVT","6687.00"
"Admission Committee for Professional Courses, Gujarat"
"First Year Degree Engineering : 2025-26"
"Institute Wise : Program Wise : Last Admitted Rank after Round-3"
"Inst_Name","Course_name","Cat_Name","Board","Type of
Institute","closing"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INSTRUMENTATION & CONTROL
ENGINEERING","SC","GUJCET Based","GOVT","20527.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INSTRUMENTATION & CONTROL
ENGINEERING","ST","GUJCET Based","GOVT","38516.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INSTRUMENTATION & CONTROL
ENGINEERING","EWS","JEE Based","GOVT","901977.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INSTRUMENTATION & CONTROL
ENGINEERING","GEN","JEE Based","GOVT","901669.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","INSTRUMENTATION & CONTROL
ENGINEERING - TFWS","TFWS","GUJCET Based","GOVT","3785.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","MECHANICAL ENGINEERING","EWS","GUJCET Based","GOVT","4280.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","MECHANICAL ENGINEERING","GEN","GUJCET Based","GOVT","3554.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","MECHANICAL ENGINEERING","SC","GUJCET Based","GOVT","15385.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","MECHANICAL ENGINEERING","SEBC","GUJCET Based","GOVT","6298.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","MECHANICAL ENGINEERING","GEN","JEE Based","GOVT","900764.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","PLASTIC TECHNOLOGY","GEN","GUJCET Based","GOVT","50705.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","PLASTIC TECHNOLOGY","GEN","JEE Based","GOVT","906404.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","PLASTIC TECHNOLOGY-TFWS","TFWS","GUJCET Based","GOVT","4956.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ROBOTICS AND AUTOMATION","ESM","GUJCET Based","GOVT","22080.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ROBOTICS AND AUTOMATION","EWS","GUJCET Based","GOVT","6945.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ROBOTICS AND AUTOMATION","GEN","GUJCET Based","GOVT","5583.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ROBOTICS AND AUTOMATION","SC","GUJCET Based","GOVT","22764.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ROBOTICS AND AUTOMATION","SEBC","GUJCET Based","GOVT","8128.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ROBOTICS AND AUTOMATION","ST","GUJCET Based","GOVT","38403.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ROBOTICS AND AUTOMATION","EWS","JEE Based","GOVT","901511.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ROBOTICS AND AUTOMATION","GEN","JEE Based","GOVT","900755.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ROBOTICS AND AUTOMATION","ST","JEE Based","GOVT","922438.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","ROBOTICS AND AUTOMATION -
TFWS","TFWS","GUJCET Based","GOVT","2720.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","RUBBER TECHNOLOGY","EWS","GUJCET Based","GOVT","35566.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","RUBBER TECHNOLOGY","GEN","GUJCET Based","GOVT","29947.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","RUBBER TECHNOLOGY","SEBC","GUJCET Based","GOVT","36738.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","RUBBER TECHNOLOGY","GEN","JEE Based","GOVT","907679.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","RUBBER TECHNOLOGY - TFWS","TFWS","GUJCET Based","GOVT","14277.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","TEXTILE TECHNOLOGY","GEN","GUJCET Based","GOVT","37862.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","TEXTILE TECHNOLOGY","GEN","JEE Based","GOVT","928484.00"
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD","TEXTILE TECHNOLOGY - TFWS","TFWS","GUJCET Based","GOVT","20146.00"
"L.E.COLLEGE ,MORBI","CHEMICAL ENGINEERING","EWS","GUJCET Based","GOVT","38841.00"
"L.E.COLLEGE ,MORBI","CHEMICAL ENGINEERING","GEN","GUJCET Based","GOVT","33517.00"
"L.E.COLLEGE ,MORBI","CHEMICAL ENGINEERING","SEBC","GUJCET Based","GOVT","38103.00"
"L.E.COLLEGE ,MORBI","CHEMICAL ENGINEERING","GEN","JEE Based","GOVT","905286.00"
"L.E.COLLEGE ,MORBI","CHEMICAL ENGINEERING","SEBC","JEE Based","GOVT","922074.00"
"L.E.COLLEGE ,MORBI","CIVIL ENGINEERING","GEN","GUJCET Based","GOVT","50067.00"
"L.E.COLLEGE ,MORBI","CIVIL ENGINEERING","GEN","JEE Based","GOVT","929418.00"
"L.E.COLLEGE ,MORBI","ELECTRICAL ENGINEERING","GEN","GUJCET Based","GOVT","35664.00"
"L.E.COLLEGE ,MORBI","ELECTRICAL ENGINEERING","GEN","JEE Based","GOVT","990257.00"
"L.E.COLLEGE ,MORBI","INFORMATION TECHNOLOGY","EWS","GUJCET Based","GOVT","27978.00"
"L.E.COLLEGE ,MORBI","INFORMATION TECHNOLOGY","GEN","GUJCET Based","GOVT","18940.00"
"L.E.COLLEGE ,MORBI","INFORMATION TECHNOLOGY","SEBC","GUJCET Based","GOVT","30773.00"
"L.E.COLLEGE ,MORBI","INFORMATION TECHNOLOGY","GEN","JEE Based","GOVT","903088.00"
"L.E.COLLEGE ,MORBI","INFORMATION TECHNOLOGY -
TFWS","TFWS","GUJCET Based","GOVT","15147.00"
"L.E.COLLEGE ,MORBI","MECHANICAL ENGINEERING","GEN","GUJCET Based","GOVT","50686.00"
"L.E.COLLEGE ,MORBI","MECHANICAL ENGINEERING","GEN","JEE Based","GOVT","990532.00"
"Admission Committee for Professional Courses, Gujarat"
"First Year Degree Engineering : 2025-26"
"Institute Wise : Program Wise : Last Admitted Rank after Round-3"
"Inst_Name","Course_name","Cat_Name","Board","Type of
Institute","closing"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","CIVIL ENGINEERING","GEN","GUJCET Based","GOVT","35676.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","CIVIL ENGINEERING","GEN","JEE Based","GOVT","932625.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","CIVIL ENGINEERING - TFWS","TFWS","GUJCET Based","GOVT","21761.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","ELECTRICAL ENGINEERING","GEN","GUJCET Based","GOVT","50158.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","ELECTRICAL ENGINEERING","GEN","JEE Based","GOVT","907700.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","INFORMATION TECHNOLOGY","EWS","GUJCET Based","GOVT","31174.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","INFORMATION TECHNOLOGY","GEN","GUJCET Based","GOVT","20170.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","INFORMATION TECHNOLOGY","SC","GUJCET Based","GOVT","37493.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","INFORMATION TECHNOLOGY","SEBC","GUJCET Based","GOVT","30147.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","INFORMATION TECHNOLOGY","ST","GUJCET Based","GOVT","27341.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","INFORMATION TECHNOLOGY","EWS","JEE Based","GOVT","910556.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","INFORMATION TECHNOLOGY","GEN","JEE Based","GOVT","903664.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","INFORMATION TECHNOLOGY -
TFWS","TFWS","GUJCET Based","GOVT","12576.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","MECHANICAL ENGINEERING","EWS","GUJCET Based","GOVT","34525.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","MECHANICAL ENGINEERING","GEN","GUJCET Based","GOVT","34439.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","MECHANICAL ENGINEERING","SEBC","GUJCET Based","GOVT","35655.00"
"SHANTILAL SHAH ENGINEERING COLLEGE
,BHAVNAGAR","MECHANICAL ENGINEERING","GEN","JEE Based","GOVT","906589.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","CHEMICAL ENGINEERING","EWS","GUJCET Based","GOVT","10890.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","CHEMICAL ENGINEERING","GEN","GUJCET Based","GOVT","9707.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","CHEMICAL ENGINEERING","SC","GUJCET Based","GOVT","21474.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","CHEMICAL ENGINEERING","SEBC","GUJCET Based","GOVT","13230.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","CHEMICAL ENGINEERING","GEN","JEE Based","GOVT","902087.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","CHEMICAL ENGINEERING - TFWS","TFWS","GUJCET Based","GOVT","4918.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","CIVIL ENGINEERING","ESM","GUJCET Based","GOVT","32709.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","CIVIL ENGINEERING","EWS","GUJCET Based","GOVT","10062.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","CIVIL ENGINEERING","GEN","GUJCET Based","GOVT","9014.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","CIVIL ENGINEERING","SEBC","GUJCET Based","GOVT","11141.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","CIVIL ENGINEERING","ST","GUJCET Based","GOVT","25817.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","CIVIL ENGINEERING","ST","JEE Based","GOVT","913143.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER ENGINEERING","EWS","GUJCET Based","GOVT","1972.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER ENGINEERING","GEN","GUJCET Based","GOVT","1643.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER ENGINEERING","SC","GUJCET Based","GOVT","7864.00"
"Admission Committee for Professional Courses, Gujarat"
"First Year Degree Engineering : 2025-26"
"Institute Wise : Program Wise : Last Admitted Rank after Round-3"
"Inst_Name","Course_name","Cat_Name","Board","Type of
Institute","closing"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER ENGINEERING","SEBC","GUJCET Based","GOVT","2513.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER ENGINEERING","ST","GUJCET Based","GOVT","23794.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER ENGINEERING","EWS","JEE Based","GOVT","900850.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER ENGINEERING","GEN","JEE Based","GOVT","900671.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER ENGINEERING","SC","JEE Based","GOVT","901452.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER ENGINEERING","SEBC","JEE Based","GOVT","901151.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER ENGINEERING","ST","JEE Based","GOVT","912659.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER ENGINEERING - TFWS","TFWS","GUJCET Based","GOVT","1091.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","EWS","GUJCET Based","GOVT","2567.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","GEN","GUJCET Based","GOVT","2371.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","SC","GUJCET Based","GOVT","9598.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","SEBC","GUJCET Based","GOVT","3094.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","ST","GUJCET Based","GOVT","25615.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","GEN","JEE Based","GOVT","900962.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","SEBC","JEE Based","GOVT","901355.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)","ST","JEE Based","GOVT","915081.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","ELECTRICAL ENGINEERING","ESM","GUJCET Based","GOVT","30360.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","ELECTRICAL ENGINEERING","EWS","GUJCET Based","GOVT","10866.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","ELECTRICAL ENGINEERING","GEN","GUJCET Based","GOVT","8959.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","ELECTRICAL ENGINEERING","SC","GUJCET Based","GOVT","15765.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","ELECTRICAL ENGINEERING","SEBC","GUJCET Based","GOVT","11340.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","ELECTRICAL ENGINEERING","ST","GUJCET Based","GOVT","17882.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","ELECTRICAL ENGINEERING","EWS","JEE Based","GOVT","901764.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","ELECTRICAL ENGINEERING","GEN","JEE Based","GOVT","901754.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","ELECTRICAL ENGINEERING - TFWS","TFWS","GUJCET Based","GOVT","5951.00"
"VISHWAKARMA GOVERNMENT ENGINEERING
COLLEGE, CHANDKHEDA,GANDHINAGAR","ELECTRONICS &
COMMUNICATION ENGINEERING","EWS","GUJCET Based","GOVT","4136.00"
"Admission Committee for Professional Courses, Gujarat"
"First Year Degree Engineering : 2025-26"
"Institute Wise : Program Wise : Last Admitted Rank after Round-3"
"Inst_Name","Course_name","Cat_Name","Board","Type of
Institute","closing"
